"ZIPCODE","STATE","YEAR","Latitude","Longitude","A00100","A07260"
49256,"MI",2009,41.72,-84.21,59329,104
49259,"MI",2009,42.39,-84.25,48311,57
49262,"MI",2009,41.97,-84.52,17913,25
49264,"MI",2009,42.44,-84.56,39556,46
49265,"MI",2009,42,-84.19,121711,155
49266,"MI",2009,41.82,-84.53,44840,57
49267,"MI",2009,41.76,-83.74,101266,146
49268,"MI",2009,41.87,-83.94,20880,31
49269,"MI",2009,42.25,-84.59,120713,185
49270,"MI",2009,41.89,-83.71,141457,245
49271,"MI",2009,41.9,-84.43,33980,55
49272,"MI",2009,42.39,-84.34,56109,95
49274,"MI",2009,41.83,-84.74,53374,84
49276,"MI",2009,41.78,-83.79,24399,43
49277,"MI",2009,42.38,-84.46,69109,90
49279,"MI",2009,41.78,-84.1,17521,35
49282,"MI",2009,42.03,-84.4,5671,0
49283,"MI",2009,42.2,-84.55,68940,79
49284,"MI",2009,42.37,-84.69,52520,65
49285,"MI",2009,42.45,-84.17,118362,181
49286,"MI",2009,42,-83.94,352707,368
49287,"MI",2009,42.01,-84.06,50439,59
49288,"MI",2009,41.72,-84.41,17498,36
49301,"MI",2009,42.95,-85.48,1117120,702
49302,"MI",2009,42.85,-85.38,240050,309
49303,"MI",2009,43.27,-85.81,19555,22
49304,"MI",2009,43.89,-85.85,43226,76
49305,"MI",2009,43.74,-85.14,29596,49
49306,"MI",2009,43.07,-85.6,285169,275
49307,"MI",2009,43.7,-85.48,272288,350
49309,"MI",2009,43.74,-85.86,21355,30
49310,"MI",2009,43.51,-85.08,43851,83
49315,"MI",2009,42.81,-85.72,546195,505
49316,"MI",2009,42.79,-85.51,557979,510
49318,"MI",2009,43.23,-85.79,27503,55
49319,"MI",2009,43.22,-85.55,293550,406
49321,"MI",2009,43.04,-85.67,328298,317
49322,"MI",2009,43.36,-85.4,15312,28
49323,"MI",2009,42.72,-85.72,193034,186
49325,"MI",2009,42.76,-85.31,36798,86
49326,"MI",2009,43.25,-85.3,67490,90
49327,"MI",2009,43.33,-85.81,132502,157
49328,"MI",2009,42.62,-85.76,69198,84
49329,"MI",2009,43.39,-85.46,131684,171
49330,"MI",2009,43.21,-85.75,92228,140
49331,"MI",2009,42.93,-85.34,375064,512
49332,"MI",2009,43.61,-85.23,48656,77
49333,"MI",2009,42.71,-85.46,260108,292
49336,"MI",2009,43.49,-85.44,53870,90
49337,"MI",2009,43.42,-85.8,191612,266
49338,"MI",2009,43.77,-85.6,30591,52
49339,"MI",2009,43.31,-85.49,45565,51
49340,"MI",2009,43.61,-85.1,43951,111
49341,"MI",2009,43.12,-85.55,949941,1065
49342,"MI",2009,43.67,-85.32,26032,45
49343,"MI",2009,43.29,-85.51,99935,144
49344,"MI",2009,42.59,-85.63,69078,79
49345,"MI",2009,43.15,-85.7,255283,294
49346,"MI",2009,43.58,-85.44,113811,140
49347,"MI",2009,43.31,-85.35,21046,28
49348,"MI",2009,42.67,-85.64,233508,239
49349,"MI",2009,43.55,-85.77,100739,170
49401,"MI",2009,42.98,-85.95,205064,148
49402,"MI",2009,43.93,-86.03,19839,37
49403,"MI",2009,43.14,-85.85,52449,95
49404,"MI",2009,43.06,-85.93,167931,215
49405,"MI",2009,43.95,-86.21,25539,35
49408,"MI",2009,42.59,-86.1,166698,159
49410,"MI",2009,44.04,-86.17,24080,67
49411,"MI",2009,44.1,-86.21,29206,39
49412,"MI",2009,43.46,-85.95,216804,269
49415,"MI",2009,43.12,-86.15,131567,202
49417,"MI",2009,43.05,-86.22,746618,704
49418,"MI",2009,42.9,-85.75,668925,760
49419,"MI",2009,42.67,-86,167446,238
49420,"MI",2009,43.69,-86.36,89869,123
49421,"MI",2009,43.56,-86.04,82979,153
49423,"MI",2009,42.77,-86.1,940149,902
49424,"MI",2009,42.84,-86.13,1030286,927
49425,"MI",2009,43.41,-86.07,53408,71
49426,"MI",2009,42.86,-85.86,812743,822
49428,"MI",2009,42.9,-85.82,566702,736
49431,"MI",2009,43.95,-86.44,331427,412
49435,"MI",2009,43.03,-85.82,89716,133
49436,"MI",2009,43.68,-86.41,32217,72
49437,"MI",2009,43.46,-86.39,138531,203
49440,"MI",2009,43.24,-86.25,7944,0
49441,"MI",2009,43.22,-86.25,743997,866
49442,"MI",2009,43.24,-86.14,451556,511
49444,"MI",2009,43.18,-86.2,329607,298
49445,"MI",2009,43.29,-86.29,479289,656
49446,"MI",2009,43.55,-86.34,38803,49
49448,"MI",2009,43.07,-86.06,64774,99
49449,"MI",2009,43.78,-86.43,57140,81
49450,"MI",2009,42.48,-86.09,31234,50
49451,"MI",2009,43.18,-85.94,103436,195
49452,"MI",2009,43.51,-86.26,32075,32
49453,"MI",2009,42.65,-86.2,85486,77
49454,"MI",2009,43.95,-86.28,71505,116
49455,"MI",2009,43.61,-86.35,85901,112
49456,"MI",2009,43.07,-86.19,576852,458
49457,"MI",2009,43.36,-86.17,183571,228
49459,"MI",2009,43.71,-86.12,15673,25
49460,"MI",2009,42.91,-86.12,221766,222
49461,"MI",2009,43.39,-86.34,197747,260
49464,"MI",2009,42.81,-86.01,596974,663
49503,"MI",2009,42.96,-85.65,794237,457
49504,"MI",2009,42.98,-85.71,626756,758
49505,"MI",2009,43,-85.64,551145,704
49506,"MI",2009,42.95,-85.61,992944,1086
49507,"MI",2009,42.93,-85.66,396214,498
49508,"MI",2009,42.87,-85.62,713231,876
49509,"MI",2009,42.9,-85.69,388622,464
49512,"MI",2009,42.88,-85.53,347346,171
49519,"MI",2009,42.89,-85.72,465095,516
49525,"MI",2009,43.02,-85.59,776579,766
49534,"MI",2009,42.97,-85.77,477900,488
49544,"MI",2009,43.04,-85.75,180135,222
49546,"MI",2009,42.93,-85.54,1203852,919
49548,"MI",2009,42.87,-85.66,418863,414
49601,"MI",2009,44.24,-85.41,371252,412
49612,"MI",2009,44.88,-85.26,26579,27
49613,"MI",2009,44.51,-86.23,16575,23
49614,"MI",2009,44.42,-86.14,46220,61
49615,"MI",2009,44.97,-85.2,98440,88
49616,"MI",2009,44.61,-86.09,30762,38
49617,"MI",2009,44.64,-86.03,62881,100
49618,"MI",2009,44.28,-85.6,12287,16
49619,"MI",2009,44.3,-86.01,15591,30
49620,"MI",2009,44.5,-85.67,37637,44
49621,"MI",2009,44.85,-85.8,68569,68
49622,"MI",2009,45.06,-85.26,48378,71
49623,"MI",2009,43.88,-85.63,17408,18
49625,"MI",2009,44.48,-85.92,16587,23
49629,"MI",2009,44.89,-85.4,65153,60
49630,"MI",2009,44.81,-86.05,41888,52
49631,"MI",2009,43.9,-85.27,80560,105
49632,"MI",2009,44.25,-85.08,15637,18
49633,"MI",2009,44.57,-85.35,59179,67
49635,"MI",2009,44.63,-86.23,85537,102
49636,"MI",2009,44.86,-85.96,30192,31
49637,"MI",2009,44.66,-85.68,62641,62
49638,"MI",2009,44.3,-85.7,11343,17
49639,"MI",2009,43.84,-85.44,39261,58
49640,"MI",2009,44.66,-86.02,33176,76
49642,"MI",2009,43.88,-85.8,6349,15
49643,"MI",2009,44.64,-85.83,117926,134
49644,"MI",2009,44.14,-85.91,23707,41
49645,"MI",2009,44.37,-86.01,25407,39
49646,"MI",2009,44.73,-85.17,133925,185
49648,"MI",2009,44.93,-85.36,62090,72
49649,"MI",2009,44.58,-85.53,107691,127
49650,"MI",2009,44.72,-85.84,62746,96
49651,"MI",2009,44.33,-85.2,107168,142
49653,"MI",2009,44.97,-85.73,52303,55
49654,"MI",2009,45.15,-86.05,35180,27
49655,"MI",2009,44.03,-85.41,50947,74
49656,"MI",2009,44.03,-85.68,21244,42
49657,"MI",2009,44.22,-85.21,55278,71
49659,"MI",2009,44.9,-85.06,85360,117
49660,"MI",2009,44.24,-86.32,251406,313
49663,"MI",2009,44.41,-85.4,77695,85
49664,"MI",2009,44.84,-85.86,46115,65
49665,"MI",2009,44.1,-85.14,59917,93
49667,"MI",2009,44.31,-84.93,8262,0
49668,"MI",2009,44.4,-85.71,48444,58
49670,"MI",2009,45.13,-85.61,56115,66
49675,"MI",2009,44.36,-86.2,31007,34
49676,"MI",2009,44.83,-85.28,71649,86
49677,"MI",2009,43.87,-85.5,102323,157
49679,"MI",2009,43.89,-85.18,19085,27
49680,"MI",2009,44.63,-85.25,26662,44
49682,"MI",2009,44.97,-85.65,108570,111
49683,"MI",2009,44.52,-85.93,31115,39
49684,"MI",2009,44.76,-85.7,887959,938
49686,"MI",2009,44.75,-85.6,819319,810
49688,"MI",2009,44.1,-85.45,47104,64
49689,"MI",2009,44.21,-85.95,22716,29
49690,"MI",2009,44.76,-85.4,169297,258
49701,"MI",2009,45.77,-84.74,26036,17
49705,"MI",2009,45.31,-84.45,9132,0
49706,"MI",2009,45.44,-84.78,72426,106
49707,"MI",2009,45.07,-83.43,397068,634
49709,"MI",2009,45,-84.15,51454,93
49710,"MI",2009,46.28,-84.28,9260,12
49712,"MI",2009,45.21,-85.01,167176,173
49713,"MI",2009,45.16,-84.91,31531,64
49715,"MI",2009,46.4,-84.57,58657,94
49716,"MI",2009,45.5,-84.75,19417,27
